,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
42,Talnakh,69.49,88.4,32.0,93,75,26.84
43,Carbondale,37.73,-89.22,48.56,36,1,9.17
44,Touros,-5.2,-35.46,87.8,62,40,12.75
45,Falun,60.6,15.63,43.16,35,72,8.05
46,Comodoro Rivadavia,-45.87,-67.5,69.8,52,94,5.82
47,Richards Bay,-28.78,32.04,73.83,77,42,20.74
48,Saldanha,-33.01,17.94,66.2,72,13,11.41
49,Souillac,-20.52,57.52,78.42,78,40,13.87
50,Leh,34.17,77.58,32.41,18,15,2.77
51,Murchison,-41.8,172.33,48.29,70,41,1.12
52,Ahar,38.48,47.07,40.42,56,68,3.56
53,Lengshuijiang,27.69,111.43,53.22,82,100,8.75
54,Omboué,-1.57,9.26,80.89,87,79,11.14
55,Mataura,-46.19,168.86,41.0,95,6,1.01
56,Tautira,-17.73,-149.15,84.09,70,40,3.36
57,Cidreira,-30.18,-50.21,69.26,67,9,10.71
58,Xichang,27.9,102.26,54.66,43,23,3.53
59,Balkanabat,39.51,54.37,58.98,38,73,4.61
60,Kosa,59.94,55.0,42.75,80,81,14.94
61,Semey,50.41,80.23,39.6,64,3,8.72
62,Wuwei,37.93,102.64,44.01,17,0,5.75
63,Deputatsky,69.3,139.9,13.89,89,46,7.05
64,Mahébourg,-20.41,57.7,78.49,78,40,13.87
65,Neryungri,56.67,124.65,24.28,73,0,3.06
66,Tasiilaq,65.61,-37.64,26.6,68,20,1.54
67,Bolton,53.58,-2.43,67.68,46,100,4.7
68,Hermanus,-34.42,19.23,63.36,91,2,3.69
69,Maceió,-9.67,-35.74,87.8,70,40,14.99
70,Kralendijk,12.15,-68.27,87.8,66,75,14.99
71,Necochea,-38.55,-58.74,73.0,52,0,14.0
72,Khatanga,71.97,102.5,28.38,92,100,20.94
73,Sistranda,63.73,8.83,37.65,93,40,16.11
74,Busselton,-33.65,115.33,66.54,49,75,14.16
75,Kloulklubed,7.04,134.26,78.8,83,75,5.82
76,Constitución,-35.33,-72.42,63.34,58,11,6.49
77,Oddur,4.12,43.89,82.94,47,70,8.39
78,Caucaia,-3.74,-38.65,87.21,66,40,14.99
79,Saint Simons,31.14,-81.39,71.15,40,1,11.41
80,Saskylakh,71.92,114.08,24.44,92,84,17.52
81,Ancud,-41.87,-73.82,59.0,82,75,8.05
82,Longyearbyen,78.22,15.64,3.2,59,20,6.93
83,Barabai,-2.58,115.38,76.05,92,96,0.56
84,Cockburn Town,21.46,-71.14,78.66,74,9,2.33
85,Port Elizabeth,-33.92,25.57,62.6,88,77,9.17
86,Terrace Bay,48.78,-87.1,30.2,39,20,5.82
87,Mumford,5.26,-0.76,83.07,77,64,5.82
88,Lagoa,39.05,-27.98,62.98,64,0,3.71
89,Nizhniy Kuranakh,58.84,125.49,32.95,78,22,4.88
90,Atasū,48.68,71.64,36.5,63,16,7.18
91,Leningradskiy,69.38,178.42,-4.81,80,0,7.85
92,Muzhi,65.37,64.67,24.98,95,98,9.22
93,Zyryanka,65.75,150.85,16.34,92,10,16.64
94,Sassandra,4.95,-6.08,82.96,75,89,6.67
95,Tselina,46.53,41.03,49.5,56,3,9.69
96,Khani,41.96,42.96,50.0,81,75,10.29
97,Igrim,63.19,64.42,38.43,95,100,10.2
98,Qaanaaq,77.48,-69.36,8.28,83,0,1.68
99,Mercedes,-34.65,-59.43,71.49,24,3,4.0
100,Nanortalik,60.14,-45.24,36.39,78,100,8.05
101,Chumikan,54.72,135.31,30.63,92,0,4.72
102,Norman Wells,65.28,-126.83,14.0,61,20,3.36
103,Gambēla,8.25,34.58,82.51,47,47,1.83
104,Chowchilla,37.12,-120.26,58.6,72,40,8.05
105,Manbij,36.53,37.95,48.2,87,75,5.82
106,Lensk,60.73,114.93,31.84,90,82,4.0
107,Sinop Province,41.77,34.87,41.72,56,0,4.54
108,Zhongxing,33.7,118.68,44.69,84,100,13.96
109,Husavik,66.04,-17.34,33.8,74,100,11.41
110,Beyneu,45.32,55.2,47.61,50,7,17.85
111,Arraial do Cabo,-22.97,-42.03,75.2,73,75,6.93
112,Laguna,38.42,-121.42,61.43,63,1,3.36
113,Pāsighāt,28.07,95.33,70.45,45,2,3.91
114,Yangjiang,21.85,111.97,70.47,87,63,4.0
115,Kalmunai,7.42,81.82,81.82,75,58,8.46
116,Yulara,-25.24,130.99,57.2,41,0,4.7
117,Mar del Plata,-38.0,-57.56,68.27,63,40,12.75
118,Kahului,20.89,-156.47,69.08,88,1,4.25
119,Bredasdorp,-34.53,20.04,64.24,72,0,11.41
120,Znamenskoye,57.13,73.83,33.06,93,63,4.59
121,Tefé,-3.35,-64.71,86.0,79,40,4.7
122,Matara,5.95,80.54,78.03,86,22,5.39
123,Freeport,40.66,-73.58,46.96,42,75,23.04
124,Ahipara,-35.17,173.17,57.94,82,41,4.88
125,Butaritari,3.07,172.79,83.86,72,100,7.23
126,Salmās,38.2,44.77,50.0,57,75,13.87
127,Okhotsk,59.38,143.3,23.16,92,0,6.85
128,Marzuq,14.4,46.47,72.77,41,0,6.78
129,Nome,64.5,-165.41,24.8,79,90,6.17
130,Chiman,32.55,73.81,75.2,60,20,4.7
131,Anadyr,64.75,177.48,-9.18,83,40,4.47
132,Geraldton,-28.77,114.6,69.8,83,3,6.93
133,Gimli,50.63,-96.99,41.0,55,100,7.0
134,Pinotepa Nacional,16.32,-98.02,94.33,24,0,10.13
135,North Bend,43.41,-124.22,50.31,87,90,5.82
136,Ambon City,-3.7,128.18,82.24,75,16,5.66
137,Lebu,-37.62,-73.65,62.53,66,25,6.87
138,Carnarvon,-24.87,113.63,77.0,100,77,10.29
139,Hithadhoo,-0.6,73.08,84.74,63,10,5.3
140,Jerantut,3.94,102.36,73.67,83,55,0.38
141,Tuktoyaktuk,69.45,-133.04,-0.4,84,40,9.17
142,Pitimbu,-7.47,-34.81,87.8,66,40,11.41
143,Faanui,-16.48,-151.75,82.49,78,41,10.36
144,Tura,25.52,90.22,73.81,35,0,4.54
145,Goryachegorsk,55.41,88.92,27.3,89,12,4.81
146,Praia da Vitória,38.73,-27.07,66.2,77,20,6.87
147,Bambous Virieux,-20.34,57.76,78.42,78,40,13.87
148,Hualmay,-11.1,-77.61,78.39,65,64,8.86
149,Katsuura,35.13,140.3,49.12,39,75,14.99
150,The Pas,53.83,-101.25,28.4,86,90,2.24
151,Sur,22.57,59.53,84.52,57,85,9.82
152,Kavieng,-2.57,150.8,83.25,76,100,6.58
153,Ulagan,50.63,87.96,26.47,64,89,0.34
154,Christchurch,-43.53,172.63,52.36,93,0,8.05
155,Mount Isa,-20.73,139.5,73.4,35,65,12.75
156,Mut,36.64,33.44,58.84,33,45,10.22
157,Codrington,-38.27,141.97,56.32,75,91,27.83
158,Tiksi,71.69,128.87,22.46,93,79,23.91
159,Adrar,20.5,-10.07,96.76,8,0,7.29
160,Newberry,34.27,-81.62,61.32,19,1,12.75
161,Kruisfontein,-34.0,24.73,60.19,60,57,3.09
162,Narsaq,60.92,-46.05,42.8,26,100,41.38
163,Rocha,-34.48,-54.33,68.63,60,13,9.19
164,Srandakan,-7.94,110.25,79.72,82,6,3.96
165,East London,-33.02,27.91,69.82,78,100,10.42
166,Hofn,64.25,-15.21,39.29,86,100,11.32
167,Torbay,47.67,-52.73,33.8,92,90,21.92
168,Balkhash,46.84,74.98,39.04,59,0,6.6
169,Laas,46.62,10.7,59.4,40,5,2.24
170,Suba,10.84,121.01,83.53,74,27,16.64
171,Luxor,25.7,32.64,73.4,33,1,13.87
172,Upernavik,72.79,-56.15,18.19,86,9,5.7
173,Belaya Gora,68.53,146.42,30.56,98,90,5.77
174,Banda Aceh,5.56,95.32,80.15,80,99,4.03
175,Itupiranga,-5.13,-49.33,87.8,79,40,5.82
176,San Patricio,19.22,-104.7,82.4,78,5,5.82
177,Nautla,20.22,-96.78,83.59,75,57,10.4
178,George Town,5.41,100.34,82.2,88,40,2.75
179,Río Gallegos,-51.62,-69.22,59.0,28,40,14.99
180,Karratha,-20.74,116.85,81.3,66,3,8.72
181,Coquimbo,-29.95,-71.34,68.0,64,80,12.75
182,Margate,51.38,1.39,56.52,76,46,6.93
183,Guapí,2.57,-77.89,87.06,68,94,5.86
184,Itambacuri,-18.03,-41.69,76.08,73,98,4.14
185,Trairi,-3.28,-39.27,84.88,72,93,8.99
186,Evensk,61.95,159.23,4.84,84,3,7.18
187,Mossamedes,-15.2,12.15,77.07,56,5,15.75
188,Cardonal,20.6,-99.13,76.01,21,2,7.67
189,Nikolskoye,59.7,30.79,33.46,93,75,4.47
190,Naze,28.37,129.48,55.4,87,22,3.36
191,Köping,59.51,15.99,45.52,35,85,9.17
192,Vryburg,-26.96,24.73,68.61,37,70,6.22
193,Winnemucca,40.97,-117.74,52.68,40,1,5.82
194,Taman',45.21,36.72,48.11,70,5,6.71
195,Aswān,24.09,32.91,71.89,21,1,10.78
196,Doha,25.29,51.53,87.44,58,100,11.41
197,‘Āhuimanu,21.44,-157.84,70.03,83,75,3.91
198,Yangambi,0.81,24.43,78.04,62,51,1.72
199,Puerto Ayora,-0.74,-90.35,85.37,66,20,5.82
200,Hasaki,35.73,140.83,35.6,80,20,1.12
201,Akdepe,42.06,59.38,50.94,37,94,6.93
202,Hobyo,5.35,48.53,83.71,66,66,14.97
203,Morón,-34.65,-58.62,69.78,49,20,10.29
204,Dingle,11.0,122.67,78.42,80,2,9.4
205,Lorengau,-2.02,147.27,81.66,77,97,5.35
206,Bengkulu,-3.8,102.27,77.5,81,87,4.09
207,Kilindoni,-7.91,39.67,83.62,79,74,21.92
208,Liwale,-9.77,37.93,68.54,81,21,4.68
209,Eyl,7.98,49.82,82.45,68,2,13.69
210,Woodstock,43.13,-80.75,38.17,55,75,19.46
211,Øksfjord,70.24,22.35,27.39,92,90,21.92
212,Kiama,-34.68,150.87,61.36,63,0,17.22
213,Perovo,44.93,34.07,48.76,53,7,7.61
214,St. George's,12.06,-61.75,86.0,70,20,19.46
215,Jalalabad,34.43,70.45,66.2,77,75,1.36
216,Airai,-8.93,125.41,60.17,72,42,0.58
217,Nioro,13.35,-15.75,104.18,9,0,6.2
218,Dwārka,22.24,68.97,79.43,72,0,9.55
219,Bharatpur,27.22,77.48,85.6,18,18,1.66
220,Lienz,46.83,12.77,58.03,30,5,1.59
221,Tanabe,33.73,135.37,44.01,72,12,13.56
222,Nouadhibou,20.93,-17.03,75.2,60,0,21.92
223,Amahai,-3.33,128.92,79.41,80,27,4.7
224,Rabat,33.99,-6.84,66.11,82,40,16.11
225,Dumas,35.87,-101.97,60.8,31,1,18.34
226,San Cristobal,7.77,-72.22,95.0,44,40,6.93
227,Gigmoto,13.78,124.39,81.14,74,3,6.4
228,Kumul,42.8,93.45,57.96,19,4,10.47
229,Samarai,-10.62,150.67,78.91,82,28,6.26
230,Punta de Bombón,-17.17,-71.79,75.97,69,92,7.72
231,Doaba,33.42,70.74,66.65,45,65,2.93
232,Lompoc,34.64,-120.46,57.67,81,1,6.4
233,Esperance,-33.87,121.9,60.8,87,75,5.82
234,Tessalit,20.2,1.01,96.48,8,75,7.92
235,Ubari,26.59,12.78,75.56,16,16,10.22
236,Klyuchevskiy,53.53,119.45,28.02,76,0,3.49
237,Haines Junction,60.75,-137.51,20.61,80,0,0.6
238,Luyang,27.62,110.1,54.93,84,99,6.64
239,Kaitangata,-46.28,169.85,50.0,86,21,1.72
240,Port Macquarie,-31.43,152.92,57.58,100,90,4.7
241,Weatherford,32.76,-97.8,68.86,32,1,11.41
242,Tadine,-21.55,167.88,72.18,67,26,4.21
243,Okha,53.57,142.95,19.76,96,0,5.97
244,Wanaka,-44.7,169.15,43.93,54,0,6.04
245,Grindavik,63.84,-22.43,38.25,93,90,16.11
246,Seymchan,62.88,152.43,7.36,84,1,4.45
247,Zhigansk,66.77,123.37,22.3,94,45,13.53
248,Vila Velha,-20.33,-40.29,76.62,73,75,10.29
249,Trelew,-43.25,-65.31,82.78,27,47,20.62
250,Palmas,-10.21,-48.36,82.4,74,40,9.17
251,Warren,39.43,-84.17,44.1,56,90,17.22
252,Maturin,9.75,-63.18,94.08,39,100,5.86
253,Pyaozerskiy,65.83,31.17,26.42,91,99,5.84
254,Xalapa,19.53,-96.92,81.18,37,3,4.83
255,Goma,-1.68,29.22,65.79,51,72,2.15
256,Pangkalanbuun,-2.68,111.62,77.38,88,98,2.17
257,Tiruchchendur,8.48,78.12,84.45,72,0,9.24
258,Ajdabiya,30.76,20.23,61.18,58,0,15.7
259,Gladstone,-23.85,151.25,71.6,83,90,5.82
260,Bethel,41.37,-73.41,46.02,48,90,18.34
261,Makakilo City,21.35,-158.09,69.66,100,20,3.78
262,La Reforma,25.08,-108.05,81.14,44,75,6.93
263,Seoul,37.57,126.98,42.82,70,75,3.33
264,Inhambane,-23.86,35.38,73.4,78,52,9.15
265,Elliot,-31.33,27.85,58.12,45,100,5.59
266,Kothi,24.75,80.78,83.57,14,3,2.3
267,Lukovetskiy,64.3,41.92,23.0,73,71,2.24
268,Cobija,-11.03,-68.77,89.82,39,13,4.05
269,Gamba,-2.65,10.0,81.39,84,86,9.53
270,São Filipe,14.9,-24.5,76.95,69,0,12.86
271,Basco,20.45,121.97,75.38,81,52,17.25
272,Bien Hoa,10.95,106.82,82.4,78,40,10.29
273,Hargeisa,9.56,44.06,79.14,38,47,2.89
274,Baker City,44.77,-117.83,60.21,31,1,1.21
275,Waddān,29.16,16.14,68.05,23,63,8.79
276,Chokurdakh,70.63,147.92,19.4,96,40,9.82
277,Pantai Remis,4.46,100.63,81.19,94,20,3.36
278,Lac du Bonnet,50.25,-96.06,41.0,55,96,7.0
279,Rome,43.21,-75.46,34.92,81,90,20.8
280,Vanimo,-2.67,141.3,79.0,84,67,6.58
281,Kupang,-10.17,123.58,80.69,74,37,10.02
282,Avarua,-21.21,-159.78,77.0,100,100,1.12
283,Korčula,42.96,17.14,60.94,64,0,8.39
284,Uyemskiy,64.47,40.85,23.0,73,12,2.24
285,Hervey Bay,-25.3,152.85,68.45,100,66,1.12
286,Monrovia,6.3,-10.8,83.12,72,38,10.2
287,Carutapera,-1.2,-46.02,84.88,72,42,10.78
288,Merrill,45.18,-89.68,38.66,47,75,9.17
289,Sioux City,42.5,-96.4,45.16,38,1,13.87
290,Polyarny,69.2,33.45,28.4,50,56,4.47
291,Bar Harbor,44.39,-68.2,35.89,80,90,10.29
292,Asău,46.43,26.4,57.29,26,92,11.41
293,Zeya,53.75,127.27,32.05,86,0,2.06
294,Isangel,-19.55,169.27,75.49,67,59,7.83
295,Hanzhong,33.07,107.03,54.81,59,99,3.0
296,Revadanda,18.55,72.93,84.2,79,20,5.82
297,Chui,-33.7,-53.46,69.33,60,6,10.18
298,Aquin,18.28,-73.4,82.38,73,32,2.93
299,Los Llanos de Aridane,28.66,-17.92,71.6,78,20,8.05
300,Jacmel,18.23,-72.53,89.6,59,40,13.87
301,Zhangjiakou,40.81,114.88,41.23,43,15,5.79
302,Kaeo,-35.1,173.78,48.99,93,1,3.69
303,Winnetka,42.11,-87.74,44.73,39,40,10.29
304,Port Hardy,50.7,-127.42,50.0,76,75,12.75
305,Prince Rupert,54.32,-130.32,39.2,86,1,13.87
306,Mehamn,71.04,27.85,26.83,89,100,16.64
307,Halifax,44.65,-63.57,40.98,93,75,20.8
308,Kjøllefjord,70.95,27.35,27.37,89,100,17.52
309,Luwuk,-0.95,122.79,80.08,71,1,3.74
310,Baculin,7.45,126.58,74.64,77,6,6.02
311,Mexticacán,21.27,-102.78,80.6,13,5,16.11
312,Sørland,67.67,12.69,34.18,80,100,17.0
313,Ambovombe,-25.17,46.08,72.19,81,26,19.66
314,Singkang,2.1,102.8,80.31,83,20,3.36
315,San Benito Abad,8.93,-75.03,93.94,52,100,2.48
316,Aktau,43.65,51.2,44.6,81,0,8.95
317,Caraguatatuba,-23.63,-45.49,77.65,38,20,4.7
318,Sitka,57.05,-135.33,37.13,69,1,6.17
319,Hong Kong,22.29,114.16,70.68,83,40,13.87
320,São José da Coroa Grande,-8.9,-35.15,85.82,64,1,10.38
321,Manokwari,-0.87,134.08,80.1,69,40,5.35
322,Virginia Beach,36.85,-75.98,55.04,27,75,18.34
323,Mahibadhoo,3.78,72.97,84.81,68,11,1.83
324,Fortuna,40.6,-124.16,54.63,81,90,5.82
325,Palmer,42.16,-72.33,45.19,45,75,16.11
326,Bagrāmī,34.49,69.27,60.46,62,75,2.24
327,Cabo San Lucas,22.89,-109.91,73.22,77,75,8.72
328,Filingué,14.35,3.32,95.65,17,82,11.03
329,Avera,33.19,-82.53,65.05,23,1,12.75
330,Rundu,-17.93,19.77,71.6,78,56,3.36
331,Altay,47.87,88.12,38.8,49,27,3.11
332,Santa Quitéria,-4.33,-40.16,83.71,77,94,4.27
333,Pisco,-13.7,-76.22,73.92,30,40,11.41
334,Nador,35.17,-2.93,63.57,72,28,8.05
335,Shahe,39.27,113.55,36.86,46,10,3.24
336,Sabang,5.89,95.32,83.25,77,100,7.25
337,Panabá,21.28,-88.27,102.87,18,82,5.99
338,Broome,42.25,-75.83,34.07,74,90,16.11
339,Paraná,-31.73,-60.52,77.04,34,0,7.0
340,Yumen,40.28,97.2,43.59,22,3,20.45
341,Caravelas,-17.71,-39.25,79.68,80,62,14.67
342,Kandalaksha,67.16,32.41,24.35,92,89,5.66
343,Say,13.1,2.37,100.4,17,93,11.41
344,Labytnangi,66.66,66.42,14.79,91,24,7.52
345,Kirakira,-10.45,161.92,78.85,78,24,5.59
346,San Andrés,12.58,-81.7,86.0,70,75,11.41
347,Whithorn,18.26,-78.04,85.5,70,20,13.87
348,Senador Guiomard,-10.15,-67.74,84.2,62,82,6.93
349,Cherskiy,68.75,161.3,2.91,87,62,23.51
350,Lewistown,40.6,-77.57,39.15,52,90,29.97
351,Kalvarija,54.4,23.23,48.99,94,49,8.14
352,Saint Paul Harbor,57.79,-152.41,26.6,79,1,5.82
353,Poronaysk,49.22,143.12,25.36,92,85,11.92
354,Kawalu,-7.38,108.21,73.89,76,44,1.61
355,Makkah al Mukarramah,21.43,39.83,75.0,30,44,7.74
356,Mersing,2.43,103.84,78.8,88,59,3.36
357,Yangi Marg`ilon,40.43,71.72,50.0,66,91,4.7
358,Rexburg,43.83,-111.79,53.13,53,1,12.75
359,Korla,41.76,86.15,57.72,23,93,11.88
360,Hare Bay,48.85,-54.01,30.2,92,90,31.09
361,Ulladulla,-35.35,150.47,59.63,63,0,17.22
362,Maningrida,-12.07,134.27,74.84,92,30,9.24
363,Ailigandí,9.23,-78.02,85.1,71,78,12.03
364,Mabaruma,8.2,-59.78,86.23,58,100,7.63
365,Bereket,39.24,55.52,59.41,39,23,8.7
366,Laela,-8.57,32.05,62.08,61,45,3.87
367,Dodge City,37.75,-100.02,56.64,30,40,21.92
368,Zhenlai,45.85,123.3,50.0,86,36,5.01
369,Alofi,-19.06,-169.92,75.2,83,100,4.7
370,Liku,-0.73,119.89,75.24,79,3,1.03
371,Sobolevo,54.43,31.9,40.6,63,56,7.43
372,Olafsvik,64.89,-23.71,36.12,81,74,15.05
373,Pevek,69.7,170.31,-3.15,85,32,20.83
374,Meulaboh,4.14,96.13,79.39,84,92,4.59
375,Agirish,61.92,63.02,39.38,89,98,10.94
376,Jalu,29.03,21.55,65.14,33,0,6.78
377,Sept-Îles,50.2,-66.38,41.0,32,90,11.41
378,Santa Cruz de la Sierra,-17.8,-63.17,82.4,32,20,11.41
379,Cabinda,-5.55,12.2,78.22,83,100,2.93
380,Nuuk,64.18,-51.72,39.09,60,75,18.34
381,Kamenka,51.32,42.77,53.01,48,100,8.99
382,Leshukonskoye,64.9,45.76,20.3,96,61,4.03
383,Aykhal,66.0,111.5,24.8,62,0,8.95
384,Kenai,60.55,-151.26,22.73,72,1,5.82
385,Alyangula,-13.85,136.42,75.2,100,90,7.87
386,Broken Hill,-31.95,141.43,68.0,28,40,14.99
387,Aden,12.78,45.04,82.24,74,20,19.6
388,Bozeman,45.68,-111.04,57.38,31,1,6.93
389,Farkhor,37.49,69.4,59.0,77,90,6.71
390,Chekmagush,55.13,54.66,43.59,56,60,15.9
391,Tuatapere,-46.13,167.68,42.01,95,0,1.99
392,Jérémie,18.65,-74.12,84.11,62,29,3.18
393,Tiarei,-17.53,-149.33,84.99,66,56,6.93
394,Chernyshevskiy,63.01,112.47,21.61,93,28,4.61
395,Ketchikan,55.34,-131.65,39.2,69,20,23.04
396,Maltahöhe,-24.83,16.98,77.41,23,75,9.55
397,Carinhanha,-14.3,-43.77,85.73,57,63,1.48
398,Bani Walid,31.76,13.99,64.15,30,14,17.74
399,Arlit,18.74,7.39,92.73,9,88,5.17
400,Ambilobe,-13.2,49.05,76.57,77,4,7.27
401,Kosh-Agach,50.0,88.67,26.31,51,4,3.4
402,Shar,49.59,81.05,37.36,68,16,5.37
403,Waco,31.55,-97.15,67.59,49,1,8.05
404,Acaraú,-2.89,-40.12,85.21,73,99,8.93
405,Urengoy,65.97,78.37,34.16,98,100,15.21
406,Merritt Island,28.54,-80.67,78.89,50,75,10.29
407,Baoro,5.67,15.97,75.76,56,74,0.81
408,Atar,20.52,-13.05,99.46,8,0,14.0
409,Kalengwa,-13.47,25.0,67.24,58,100,5.91
410,Riverton,40.52,-111.94,54.9,50,1,2.95
411,Katherine,-14.47,132.27,69.8,94,90,9.17
412,Mehrān,33.12,46.16,55.4,50,8,6.93
413,Shimoda,34.67,138.95,45.28,70,75,3.36
414,Flinders,-34.58,150.86,59.09,63,0,17.22
415,Tilichiki,60.47,166.1,0.23,91,20,6.73
416,Warrington,53.39,-2.58,67.71,52,100,4.7
417,Alice Springs,-23.7,133.88,57.2,54,0,4.7
418,Panama City,8.99,-79.52,92.3,55,40,12.75
419,Shingū,33.73,135.98,41.76,65,16,8.08
420,Oranjemund,-28.55,16.43,60.3,73,0,5.84
421,Berdigestyakh,62.1,126.7,32.11,88,100,9.62
422,General Roca,-39.03,-67.58,78.8,34,21,4.7
423,Shūshtar,32.05,48.86,77.59,55,56,13.04
424,Xiangxiang,27.73,112.53,54.88,87,100,12.75
425,Te Anau,-45.42,167.72,45.99,72,11,4.65
426,Taltal,-25.4,-70.48,70.52,60,19,7.72
427,Port Moresby,-9.44,147.18,75.52,85,100,3.11
428,Havre-St-Pierre,50.23,-63.6,35.6,59,90,24.16
429,Iquitos,-3.75,-73.25,86.0,70,75,3.36
430,Raudeberg,61.99,5.14,42.76,73,16,4.7
431,Novichikha,52.2,81.39,34.84,77,22,7.2
432,Gaziantep,37.06,37.38,52.11,87,75,5.82
433,Nowy Dwór Mazowiecki,52.43,20.72,51.12,39,88,3.36
434,Ćuprija,43.93,21.37,64.4,62,0,2.24
435,Faya,18.39,42.45,67.1,77,40,11.41
436,Vardø,70.37,31.11,30.22,90,100,17.72
437,Mt. Pleasant,32.79,-79.86,68.47,28,1,18.34
438,Pullman,46.73,-117.18,58.01,44,1,14.99
439,Sławno,54.36,16.68,40.98,75,84,4.41
440,Lima Duarte,-21.84,-43.79,73.24,73,75,8.05
441,Ust-Tsilma,65.44,52.15,19.72,95,100,5.79
442,Henties Bay,-22.12,14.28,69.01,78,0,1.99
443,Malé,4.17,73.51,86.0,74,40,1.12
444,Lavrentiya,65.58,-171.0,5.81,91,98,9.93
445,Cap-aux-Meules,47.38,-61.86,37.4,91,75,13.87
446,Miyako,39.64,141.95,35.53,83,9,8.16
447,Atkinson,42.84,-71.15,46.6,42,90,18.34
448,Mindelo,16.89,-24.98,80.6,61,20,27.51
449,Djibouti,11.5,42.5,84.2,74,20,4.7
450,Snåase,64.25,12.38,30.69,94,90,7.0
451,Moerai,-22.43,-151.33,81.7,87,100,14.47
452,Dakar,14.69,-17.44,87.03,69,0,13.87
453,Guerrero Negro,27.98,-114.06,64.26,57,32,17.83
454,Shellbrook,53.22,-106.4,37.4,69,75,10.29
455,Alvarães,-3.22,-64.8,86.0,79,40,4.7
456,Dalby,-27.18,151.27,64.9,93,92,6.91
457,Cap Malheureux,-19.98,57.61,78.3,78,40,13.87
458,Uyuni,-20.46,-66.83,58.17,8,0,17.45
459,Linqiong,30.42,103.46,62.29,93,40,6.71
460,Paysandu,-32.32,-58.08,73.99,42,0,4.0
461,Concordia,-31.39,-58.02,71.82,49,20,9.17
462,Dunedin,-45.87,170.5,50.88,87,13,7.85
463,Kisangani,0.52,25.2,77.49,68,65,1.28
464,Sawākin,19.11,37.33,76.39,65,21,12.21
465,Mnogovershinnyy,53.94,139.92,18.79,89,0,2.19
466,Neiafu,-18.65,-173.98,68.0,94,20,10.22
467,Hājīganj,23.25,90.86,78.1,63,0,6.17
468,Labuan,5.28,115.24,78.4,94,75,5.21
469,Kutum,14.2,24.67,80.35,13,20,8.57
470,Opuwo,-18.06,13.84,76.66,34,52,4.41
471,Kaišiadorys,54.87,24.45,45.91,33,76,6.93
472,Pochutla,15.74,-96.47,89.15,46,20,9.17
473,Boyuibe,-20.42,-63.28,77.85,27,4,6.71
474,Flin Flon,54.77,-101.86,28.4,86,90,4.7
475,Talcahuano,-36.72,-73.12,64.4,63,20,5.82
476,Buraidah,26.33,43.98,78.8,29,20,5.82
477,Dunmore East,52.15,-6.99,56.39,87,100,4.7
478,Si Bun Rueang,16.97,102.28,82.99,65,37,2.37
